2670795,Prado Navarette v. California,2014,Navarette,https://www.courtlistener.com/opinion/2670795/prado-navarette-v-california/
2657778,"United States v. Quality Stores, Inc.",2014,Quality Stores,https://www.courtlistener.com/opinion/2657778/united-states-v-quality-stores-inc/
2672209,"Lexmark Int'l, Inc. v. Static Control Components, Inc.",2014,Lexmark,https://www.courtlistener.com/opinion/2672209/lexmark-intl-inc-v-static-control-components-inc/
2656036,Marvin M. Brandt Revocable Trust v. United States,2014,Brandt Revocable,https://www.courtlistener.com/opinion/2656036/marvin-m-brandt-revocable-trust-v-united-states/
2655591,BG Group Plc v. Republic of Argentina,2014,BS Group,https://www.courtlistener.com/opinion/2655591/bg-group-plc-v-republic-of-argentina/
2650505,"Medtronic, Inc. v. Mirowski Family Ventures, LLC",2014,Medtronic,https://www.courtlistener.com/opinion/2650505/medtronic-inc-v-mirowski-family-ventures-llc/
2649290,Ray Haluch Gravel Co. v. Central Pension Fund of Operating Engineers and Participating Employers,2014,Ray Haluch,https://www.courtlistener.com/opinion/2649290/ray-haluch-gravel-co-v-central-pension-fund-of-ope/
2649075,Mississippi Ex Rel. Hood v. AU Optronics Corp.,2014,Hood,https://www.courtlistener.com/opinion/2649075/mississippi-ex-rel-hood-v-au-optronics-corp/
2644673,Atlantic Marine Constr. Co. v. United States Dist. Court for Western Dist. of Tex.,2013,Atlantic Marine,https://www.courtlistener.com/opinion/2644673/atlantic-marine-constr-co-v-united-states-dist-cou/
2644560,Ford Motor Co. v. United States,2013,Ford,https://www.courtlistener.com/opinion/2644560/ford-motor-co-v-united-states/
931614,Shelby County v. Holder,2013,Shelby County,https://www.courtlistener.com/opinion/931614/shelby-county-v-holder/
931616,Adoptive Couple v. Baby Girl,2013,Adoptive Couple,https://www.courtlistener.com/opinion/931616/adoptive-couple-v-baby-girl/
903975,"Agency for Int'l Development v. Alliance for Open Society Int'l, Inc.",2013,Open Society,https://www.courtlistener.com/opinion/903975/agency-for-intl-development-v-alliance-for-open-so/
903973,American Express Co. v. Italian Colors Restaurant,2013,Italian Colors,https://www.courtlistener.com/opinion/903973/american-express-co-v-italian-colors-restaurant/
903977,Salinas v. Texas,2013,Salinas,https://www.courtlistener.com/opinion/903977/salinas-v-texas/
902769,"FTC v. Actavis, Inc.",2013,Actavis,https://www.courtlistener.com/opinion/902769/ftc-v-actavis-inc/
902770,"Arizona v. Inter Tribal Council of Ariz., Inc.",2013,Inter Tribal,https://www.courtlistener.com/opinion/902770/arizona-v-inter-tribal-council-of-ariz-inc/
902772,"Association for Molecular Pathology v. Myriad Genetics, Inc.",2013,Myriad Genetics,https://www.courtlistener.com/opinion/902772/association-for-molecular-pathology-v-myriad-genet/
902267,"American Trucking Assns., Inc. v. Los Angeles",2013,American Trucking,https://www.courtlistener.com/opinion/902267/american-trucking-assns-inc-v-los-angeles/
873668,Nevada v. Jackson,2013,Jackson,https://www.courtlistener.com/opinion/873668/nevada-v-jackson/
868384,Arlington v. FCC,2013,Arlington,https://www.courtlistener.com/opinion/868384/arlington-v-fcc/
821432,Amgen Inc. v. Connecticut Retirement Plans and Trust Funds,2013,Amgen,https://www.courtlistener.com/opinion/821432/amgen-inc-v-connecticut-retirement-plans-and-trust/
820903,Henderson v. United States,2013,Henderson,https://www.courtlistener.com/opinion/820903/henderson-v-united-states/
820895,Johnson v. Williams,2013,Johnson,https://www.courtlistener.com/opinion/820895/johnson-v-williams/
820745,"FTC v. Phoebe Putney Health System, Inc.",2013,Phoebe Putney,https://www.courtlistener.com/opinion/820745/ftc-v-phoebe-putney-health-system-inc/
815038,Smith v. United States,2013,Smith,https://www.courtlistener.com/opinion/815038/smith-v-united-states/
815037,"Already, LLC v. Nike, Inc.",2013,Already,https://www.courtlistener.com/opinion/815037/already-llc-v-nike-inc/
814955,"Los Angeles County Flood Control Dist. v. Natural Resources Defense Council, Inc.",2013,Flood Control,https://www.courtlistener.com/opinion/814955/los-angeles-county-flood-control-dist-v-natural-re/
813020,ARKANSAS GAME AND FISH COMM'N v. UNITED STATES,2012,AK Game & Fish,https://www.courtlistener.com/opinion/813020/arkansas-game-and-fish-commn-v-united-states/
2959737,Miller v. Alabama,2012,Miller,https://www.courtlistener.com/opinion/2959737/miller-v-alabama/
803270,Arizona v. United States,2012,AZ v. USA,https://www.courtlistener.com/opinion/803270/arizona-v-united-states/
802771,Knox v. Service Employees,2012,Knox,https://www.courtlistener.com/opinion/802771/knox-v-service-employees/
802792,"FCC v. Fox Television Stations, Inc.",2012,FCC v. Fox,https://www.courtlistener.com/opinion/802792/fcc-v-fox-television-stations-inc/
802770,Southern Union Co. v. United States,2012,Southern Union,https://www.courtlistener.com/opinion/802770/southern-union-co-v-united-states/
802772,Williams v. Illinois,2012,Williams,https://www.courtlistener.com/opinion/802772/williams-v-illinois/
801109,"Radlax Gateway Hotel, LLC v. Amalgamated Bank",2012,Radlax,https://www.courtlistener.com/opinion/801109/radlax-gateway-hotel-llc-v-amalgamated-bank/
800568,Holder v. Martinez Gutierrez,2012,Gutierrez,https://www.courtlistener.com/opinion/800568/holder-v-martinez-gutierrez/
798626,"United States v. Home Concrete & Supply, LLC",2012,Home Concrete,https://www.courtlistener.com/opinion/798626/united-states-v-home-concrete-supply-llc/
728300,"Caraco Pharmaceutical Laboratories, Ltd. v. Novo Nordisk A/s",2012,Caraco Pharm.,https://www.courtlistener.com/opinion/728300/caraco-pharmaceutical-laboratories-ltd-v-novo-nord/
625710,"Mayo Collaborative Services v. Prometheus Laboratories, Inc.",2012,Mayo Collaborative,https://www.courtlistener.com/opinion/625710/mayo-collaborative-services-v-prometheus-laborator/
623241,"Ppl Montana, LLC v. Montana",2012,PPL Montana,https://www.courtlistener.com/opinion/623241/ppl-montana-llc-v-montana/
620673,Hosanna-Tabor Evangelical Lutheran Church and School v. Eeoc,2012,Hossana-Tabor,https://www.courtlistener.com/opinion/620673/hosanna-tabor-evangelical-lutheran-church-and-scho/
219731,United States v. Juvenile Male,2011,Juvenile Male,https://www.courtlistener.com/opinion/219731/united-states-v-juvenile-male/
219098,American Elec. Power Co. v. Connecticut,2011,American Elec. Power,https://www.courtlistener.com/opinion/219098/american-elec-power-co-v-connecticut/
218924,Smith v. Bayer Corp.,2011,Bayer Corp,https://www.courtlistener.com/opinion/218924/smith-v-bayer-corp/
218925,J. D. B. v. North Carolina,2011,J.D.B.,https://www.courtlistener.com/opinion/218925/j-d-b-v-north-carolina/
218665,United States v. Jicarilla Apache Nation,2011,Jicarilla Apache,https://www.courtlistener.com/opinion/218665/united-states-v-jicarilla-apache-nation/
218666,"Janus Capital Group, Inc. v. First Derivative Traders",2011,Janus Capital,https://www.courtlistener.com/opinion/218666/janus-capital-group-inc-v-first-derivative-traders/
218455,Microsoft Corp. v. i4i Ltd. Partnership,2011,i4i Ltd,https://www.courtlistener.com/opinion/218455/microsoft-corp-v-i4i-ltd-partnership/
218456,"Talk America, Inc. v. Michigan Bell Telephone Co.",2011,Talk America,https://www.courtlistener.com/opinion/218456/talk-america-inc-v-michigan-bell-telephone-co/
218178,"Erica P. John Fund, Inc. v. Halliburton Co.",2011,Erica P. John Fund,https://www.courtlistener.com/opinion/218178/erica-p-john-fund-inc-v-halliburton-co/
218133,"Board of Trustees of Leland Stanford Junior Univ. v. Roche Molecular Systems, Inc.",2011,Roche,https://www.courtlistener.com/opinion/218133/board-of-trustees-of-leland-stanford-junior-univ-v/
217702,"Global-Tech Appliances, Inc. v. SEB S. A.",2011,Global-Tech,https://www.courtlistener.com/opinion/217702/global-tech-appliances-inc-v-seb-s-a/
